110连接器,英文简称,IDC
119G网盘,使用技术,云计算
3D应用程序接口,英文简称,API
531-55-5,外文名,Azure
6TO4,技术,隧道技术
API函数,中文名,API
API应用程序设计接口,外文名,API
API显卡,中文名,应用程序接口
API显卡,缩写,API
API标准,简称,API
API标准螺旋钢管,外文名,API
Advanced Programmers Interface,简称,API
Aeolus,相关领域,私有云
Aeolus,相关领域,公有云
Alcohol 52%,性质,虚拟机
AtlAxGetControl,控件宿主,API
Azure,BaiduCARD,Windows Azure是微软基于云计算的操作系统，和Azure Services Platform一样，是微软“软件和服务”技术的名称。Windows Azure的主要目标是为开发者提供一个平台，帮助开发可运行在云服务器、数据中心、Web和PC上的应用程序。云计算的开发者能使用微软全球数据中心的储存、计算能力和网络基础服务。Azure服务平台包括了以下主要组件：Windows Azure；MicrosoftSQL数据库服务，Microsoft .Net服务；用于分享、储存和同步文件的Live服务；针对商业的Microsoft SharePoint和Microsoft Dynamics CRM服务。
Azure,BaiduTAG,操作系统
Azure,BaiduTAG,互联网
Azure,BaiduTAG,计算机学
Azure,中文名,天蓝
Azure,发行商,微软（Microsoft）
Azure,发行时间,2008年10月27日
Azure,外文名,Windows Azure
Azure,开发商,微软（Microsoft）
BARRACUDA BBFI240,设备类型,负载均衡
BARRACUDA BBFI340,设备类型,负载均衡
BARRACUDA BBFI440,设备类型,负载均衡
BARRACUDA BBFI640,设备类型,负载均衡
BaaS,BaiduCARD,BaaS（后端即服务：Backend as a Service）公司为移动应用开发者提供整合云后端的边界服务。
BaaS,BaiduTAG,计算机学
Berkeley套接字,外文名,API
CloudStack,中文名,暂无
CloudStack,举例,VMware
CloudStack,举例,KVM
CloudStack,举例,XenServer
CloudStack,外文名,CloudStack
CloudStack,性质,云计算平台
CloudStack,支持管理,大部分主流的hypervisors
CloudStack,用途,提供云服务的需求
CryptoAPI,提供商,Microsoft
DELL PowerVault MD3000i,简称,SAN
DirectInput,性质,API
Docker,BaiduCARD,"Docker 是一个开源的应用容器引擎，让开发者可以打包他们的应用以及依赖包到一个可移植的容器中，然后发布到任何流行的 Linux 机器上，也可以实现虚拟化。容器是完全使用沙箱机制，相互之间不会有任何接口（类似 iPhone 的 app）。几乎没有性能开销,可以很容易地在机器和数据中心中运行。最重要的是,他们不依赖于任何语言、框架或包括系统。"
Docker,中文名,Docker
Docker,发行日期,2013年
Docker,提供商,dotCloud
Docker,类别,应用容器引擎
EditWordBreakkProc,适用领域范围,API
FusionCloud,融合,云计算
FusionManager,BaiduCARD,FusionManager是华为公司提供的面向硬件设备、虚拟化资源与应用的管理软件。华为FusionManager是云管理系统，通过统一的接口，对计算、网络和存储等虚拟资源进行集中调度和管理，提升运维效率，保证系统的安全性和可靠性，帮助运营商和企业构筑安全、绿色、节能的云数据中心。
GDrive,方式,云计算
